 TIME                                   ,T_amb                                   ,P_heatspace                             ,
  +2.1120000000000000E+03,  -2.6200000000000001E+00,  +2.2719931839999998E+00,
  +2.1130000000000000E+03,  -3.3130000000000002E+00,  +2.3359929920000000E+00,
  +2.1140000000000000E+03,  -3.8690000000000002E+00,  +2.4159927520000002E+00,
  +2.1150000000000000E+03,  -4.3010000000000002E+00,  +2.5759922720000001E+00,
  +2.1160000000000000E+03,  -4.7469999999999999E+00,  +2.9759910719999998E+00,
  +2.1170000000000000E+03,  -5.1100000000000003E+00,  +3.9679880960000000E+00,
  +2.1180000000000000E+03,  -5.4370000000000003E+00,  +4.9599851199999998E+00,
  +2.1190000000000000E+03,  -5.2599999999999998E+00,  +4.6719859840000000E+00,
  +2.1200000000000000E+03,  -3.1869999999999998E+00,  +4.5759862719999997E+00,
  +2.1210000000000000E+03,  -5.9499999999999997E-01,  +4.3839868480000002E+00,
  +2.1220000000000000E+03,  +2.2509999999999999E+00,  +4.1919874239999997E+00,
  +2.1230000000000000E+03,  +3.7959999999999998E+00,  +4.0159879519999997E+00,
  +2.1240000000000000E+03,  +5.0110000000000001E+00,  +3.9359881919999999E+00,
  +2.1250000000000000E+03,  +5.9550000000000001E+00,  +4.0159879519999997E+00,
  +2.1260000000000000E+03,  +6.5930000000000000E+00,  +4.1279876160000004E+00,
  +2.1270000000000000E+03,  +6.8140000000000001E+00,  +4.2879871359999999E+00,
  +2.1280000000000000E+03,  +6.7069999999999999E+00,  +4.4639866079999999E+00,
  +2.1290000000000000E+03,  +6.4260000000000002E+00,  +4.5919862240000002E+00,
  +2.1300000000000000E+03,  +5.7889999999999997E+00,  +4.6719859840000000E+00,
  +2.1310000000000000E+03,  +3.6640000000000001E+00,  +4.6239861280000003E+00,
  +2.1320000000000000E+03,  +2.0470000000000002E+00,  +4.4159867520000002E+00,
  +2.1330000000000000E+03,  +2.0240000000000000E+00,  +3.9199882399999999E+00,
  +2.1340000000000000E+03,  +2.0080000000000000E+00,  +2.8799913600000000E+00,
  +2.1350000000000000E+03,  +1.6250000000000000E+00,  +2.3839928480000001E+00,
  +2.1360000000000000E+03,  +1.0910000000000000E+00,  +2.4159927520000002E+00,
  +2.1370000000000000E+03,  +1.0300000000000000E+00,  +2.4799925599999999E+00,
  +2.1380000000000000E+03,  +1.3570000000000000E+00,  +2.5599923200000001E+00,
  +2.1390000000000000E+03,  +1.5920000000000001E+00,  +2.7199918400000000E+00,
  +2.1400000000000000E+03,  +1.3560000000000001E+00,  +3.1519905439999998E+00,
  +2.1410000000000000E+03,  +9.7999999999999998E-01,  +4.1919874239999997E+00,
  +2.1420000000000000E+03,  +7.5400000000000000E-01,  +5.2479842559999996E+00,
  +2.1430000000000000E+03,  +7.8600000000000003E-01,  +4.9439851680000002E+00,
  +2.1440000000000000E+03,  +1.0429999999999999E+00,  +4.8479854560000000E+00,
  +2.1450000000000000E+03,  +1.9019999999999999E+00,  +4.6399860799999999E+00,
  +2.1460000000000000E+03,  +4.0590000000000002E+00,  +4.4479866560000003E+00,
  +2.1470000000000000E+03,  +6.1269999999999998E+00,  +4.2559872319999998E+00,
  +2.1480000000000000E+03,  +7.3680000000000003E+00,  +4.1759874720000001E+00,
  +2.1490000000000000E+03,  +8.2200000000000006E+00,  +4.2559872319999998E+00,
  +2.1500000000000000E+03,  +8.7650000000000006E+00,  +4.3679868959999997E+00,
  +2.1510000000000000E+03,  +8.9890000000000008E+00,  +4.5439863679999997E+00,
  +2.1520000000000000E+03,  +8.8390000000000004E+00,  +4.7199858399999997E+00,
  +2.1530000000000000E+03,  +8.3219999999999992E+00,  +4.8639854079999996E+00,
  +2.1540000000000000E+03,  +7.3019999999999996E+00,  +4.9279852159999997E+00,
  +2.1550000000000000E+03,  +4.5369999999999999E+00,  +4.8959853119999996E+00,
  +2.1560000000000000E+03,  +1.9960000000000000E+00,  +4.6559860320000004E+00,
  +2.1570000000000000E+03,  +1.2450000000000001E+00,  +4.1439875680000000E+00,
  +2.1580000000000000E+03,  +5.1900000000000002E-01,  +3.0399908800000000E+00,
  +2.1590000000000000E+03,  -2.1299999999999999E-01,  +2.5279924160000000E+00,
  +2.1600000000000000E+03,  -9.0700000000000003E-01,  +2.3839928480000001E+00,
  +2.1610000000000000E+03,  -1.4159999999999999E+00,  +2.4479926559999998E+00,
  +2.1620000000000000E+03,  -1.6330000000000000E+00,  +2.5279924160000000E+00,
  +2.1630000000000000E+03,  -1.5950000000000000E+00,  +2.6879919360000000E+00,
  +2.1640000000000000E+03,  -1.4860000000000000E+00,  +3.1039906880000001E+00,
  +2.1650000000000000E+03,  -1.4550000000000001E+00,  +4.1439875680000000E+00,
  +2.1660000000000000E+03,  -1.5920000000000001E+00,  +5.1679844959999999E+00,
  +2.1670000000000000E+03,  -1.4690000000000001E+00,  +4.8799853600000000E+00,
  +2.1680000000000000E+03,  +5.0100000000000000E-01,  +4.7839856479999998E+00,
  +2.1690000000000000E+03,  +2.5430000000000001E+00,  +4.5759862719999997E+00,
  +2.1700000000000000E+03,  +5.5350000000000001E+00,  +4.3839868480000002E+00,
  +2.1710000000000000E+03,  +6.8910000000000000E+00,  +4.1919874239999997E+00,
  +2.1720000000000000E+03,  +7.9740000000000002E+00,  +4.1119876639999999E+00,
  +2.1730000000000000E+03,  +8.8599999999999994E+00,  +4.1919874239999997E+00,
  +2.1740000000000000E+03,  +9.5050000000000008E+00,  +4.3039870880000004E+00,
  +2.1750000000000000E+03,  +9.8109999999999999E+00,  +4.4799865600000004E+00,
  +2.1760000000000000E+03,  +9.7469999999999999E+00,  +4.6559860320000004E+00,
  +2.1770000000000000E+03,  +9.3059999999999992E+00,  +4.7999856000000003E+00,
  +2.1780000000000000E+03,  +8.3010000000000002E+00,  +4.8639854079999996E+00,
  +2.1790000000000000E+03,  +5.3719999999999999E+00,  +4.8159855519999999E+00,
  +2.1800000000000000E+03,  +2.6400000000000001E+00,  +4.5919862240000002E+00,
